framenum,time,skier,centrex,centrey,safe
80,5.333333333333333,4,435,508,True
80,5.333333333333333,5,357,673,False
81,5.4,0,381,153,False
81,5.4,1,530,149,False
81,5.4,2,573,216,True
81,5.4,3,586,262,True
81,5.4,4,434,510,True
81,5.4,5,357,673,False
82,5.466666666666667,0,381,152,False
82,5.466666666666667,1,530,149,False
82,5.466666666666667,2,573,216,True
82,5.466666666666667,3,585,263,True
82,5.466666666666667,4,434,512,True
82,5.466666666666667,5,357,673,False
83,5.533333333333333,0,380,153,False
83,5.533333333333333,1,530,149,False
83,5.533333333333333,2,572,219,True
83,5.533333333333333,3,585,264,True
83,5.533333333333333,4,431,515,True
83,5.533333333333333,5,357,673,False
84,5.6,0,381,153,False
84,5.6,1,530,149,False
84,5.6,2,570,221,True
84,5.6,3,584,265,True
84,5.6,4,430,518,True
84,5.6,5,357,673,False
85,5.666666666666667,0,381,152,False
85,5.666666666666667,1,530,149,False
85,5.666666666666667,2,570,221,True
85,5.666666666666667,3,584,266,True
85,5.666666666666667,4,430,519,True
85,5.666666666666667,5,357,673,False
86,5.733333333333333,0,380,153,False
86,5.733333333333333,1,530,148,False
86,5.733333333333333,2,569,224,True
86,5.733333333333333,3,582,267,True
86,5.733333333333333,4,427,521,True
86,5.733333333333333,5,357,673,False
87,5.8,0,381,153,False
87,5.8,1,530,148,False
87,5.8,2,569,225,True
87,5.8,3,582,267,True
87,5.8,4,427,523,True
87,5.8,5,357,673,False
88,5.866666666666666,0,381,152,False
88,5.866666666666666,1,530,148,False
88,5.866666666666666,2,568,226,True
88,5.866666666666666,3,581,268,True
88,5.866666666666666,4,425,525,True
88,5.866666666666666,5,357,673,False
89,5.933333333333334,0,381,153,False
89,5.933333333333334,1,530,148,False
89,5.933333333333334,2,567,229,True
89,5.933333333333334,3,580,269,True
89,5.933333333333334,4,424,528,True
89,5.933333333333334,5,357,673,False
90,6.0,0,381,153,False
90,6.0,1,530,148,False
90,6.0,2,566,230,True
90,6.0,3,580,269,True
90,6.0,4,423,530,True
90,6.0,5,357,673,False
91,6.066666666666666,0,381,153,False
91,6.066666666666666,1,530,148,False
91,6.066666666666666,2,565,232,True
91,6.066666666666666,3,578,271,True
91,6.066666666666666,4,421,533,True
91,6.066666666666666,5,357,673,False
92,6.133333333333334,0,380,153,False
92,6.133333333333334,1,530,148,False
92,6.133333333333334,2,565,233,True
92,6.133333333333334,3,578,271,True
92,6.133333333333334,4,420,534,True
92,6.133333333333334,5,357,673,False
93,6.2,0,381,152,False
93,6.2,1,530,148,False
93,6.2,2,564,235,True
93,6.2,3,577,272,True
93,6.2,4,419,537,True
93,6.2,5,357,673,False
94,6.266666666666667,0,381,153,False
94,6.266666666666667,1,530,148,False
94,6.266666666666667,2,563,237,True
94,6.266666666666667,3,576,273,True
94,6.266666666666667,4,417,539,True
94,6.266666666666667,5,357,673,False
95,6.333333333333333,0,381,153,False
95,6.333333333333333,1,530,148,False
95,6.333333333333333,2,562,238,True
95,6.333333333333333,3,574,273,True
